iter	Passed	Remaining
860	2152	347
861	2153	344
862	2154	342
863	2155	339
864	2159	337
865	2164	334
866	2167	332
867	2169	329
868	2171	327
869	2178	325
870	2181	323
871	2183	320
872	2191	318
873	2194	316
874	2198	314
875	2202	311
876	2209	309
877	2211	307
878	2212	304
879	2213	301
880	2215	299
881	2226	297
882	2228	295
883	2230	292
884	2240	291
885	2242	288
886	2244	285
887	2252	284
888	2254	281
889	2256	278
890	2257	276
891	2258	273
892	2273	272
893	2274	269
894	2276	267
895	2285	265
896	2286	262
897	2288	259
898	2289	257
899	2291	254
900	2300	252
901	2301	250
902	2303	247
903	2304	244
904	2308	242
905	2313	240
906	2315	237
907	2318	234
908	2320	232
909	2323	229
910	2328	227
911	2332	225
912	2333	222
913	2334	219
914	2336	217
915	2343	214
916	2346	212
917	2348	209
918	2349	207
919	2350	204
920	2355	202
921	2358	199
922	2360	196
923	2361	194
924	2363	191
925	2364	188
926	2368	186
927	2372	184
928	2374	181
929	2375	178
930	2377	176
931	2379	173
932	2383	171
933	2387	168
934	2388	166
935	2390	163
936	2391	160
937	2392	158
938	2397	155
939	2401	153
940	2403	150
941	2405	148
942	2406	145
943	2413	143
944	2416	140
945	2418	138
946	2419	135
947	2421	132
948	2422	130
949	2424	127
950	2426	125
951	2430	122
952	2432	119
953	2433	117
954	2435	114
955	2437	112
956	2439	109
957	2440	107
958	2442	104
959	2443	101
960	2444	99
961	2446	96
962	2447	94
963	2448	91
964	2449	88
965	2450	86
966	2451	83
967	2452	81
968	2454	78
969	2455	75
970	2456	73
971	2457	70
972	2458	68
973	2459	65
974	2461	63
975	2462	60
976	2468	58
977	2472	55
978	2474	53
979	2481	50
980	2483	48
981	2485	45
982	2487	43
983	2488	40
984	2489	37
985	2500	35
986	2502	32
987	2503	30
988	2504	27
989	2506	25
990	2512	22
991	2515	20
992	2516	17
993	2518	15
994	2519	12
995	2525	10
996	2528	7
997	2530	5
998	2532	2
999	2533	0
